Title,Author,HTML_Link,Bookshelf
Artistic Anatomy of Animals,Édouard Cuyer,https://www.gutenberg.org/cache/epub/38315/pg38315-images.html,Animals-Wild
A Guide for the Study of Animals,"Lucas, Shinn, Smallwood, and Whitney",https://www.gutenberg.org/cache/epub/34984/pg34984-images.html,Animals-Wild
Our Vanishing Wild Life: Its Extermination and Preservation,William T. Hornaday,https://www.gutenberg.org/cache/epub/13249/pg13249-images.html,Animals-Wild
Ways of Nature,John Burroughs,https://www.gutenberg.org/cache/epub/30249/pg30249-images.html,Animals-Wild
The Human Side of Animals,Royal Dixon,https://www.gutenberg.org/cache/epub/19850/pg19850-images.html,Animals-Wild
"The Wonders of the Jungle, Book One",Sarath Kumar Ghosh,https://www.gutenberg.org/cache/epub/24852/pg24852-images.html,Animals-Wild
"Zoological Mythology; or, The Legends of Animals, Volume 1 (of 2)",De Gubernatis,https://www.gutenberg.org/cache/epub/38687/pg38687-images.html,Animals-Wild
Wild Animals at Home,Ernest Thompson Seton,https://www.gutenberg.org/cache/epub/27887/pg27887-images.html,Animals-Wild
Ways of Wood Folk,William J. Long,https://www.gutenberg.org/cache/epub/18193/pg18193-images.html,Animals-Wild
Animals of the Past,Frederic A. Lucas,https://www.gutenberg.org/cache/epub/38013/pg38013-images.html,Animals-Wild
A Hundred Anecdotes of Animals,Percy J. Billinghurst,https://www.gutenberg.org/cache/epub/24263/pg24263-images.html,Animals-Wild
Squirrels and Other Fur-Bearers,John Burroughs,https://www.gutenberg.org/cache/epub/24388/pg24388-images.html,Animals-Wild
Stories about Animals: with Pictures to Match,Francis C. Woodworth,https://www.gutenberg.org/cache/epub/18767/pg18767-images.html,Animals-Wild
"Zoological Illustrations, Volume 1",William Swainson,https://www.gutenberg.org/cache/epub/39471/pg39471-images.html,Animals-Wild
Creatures of the Night: A Book of Wild Life in Western Britain,Rees,https://www.gutenberg.org/cache/epub/29349/pg29349-images.html,Animals-Wild
The Minds and Manners of Wild Animals: A Book of Personal Observations,Hornaday,https://www.gutenberg.org/cache/epub/6052/pg6052-images.html,Animals-Wild
Tales of the Fish Patrol,Jack London,https://www.gutenberg.org/cache/epub/28693/pg28693-images.html,Animals-Wild
Wilderness Ways,William J. Long,https://www.gutenberg.org/cache/epub/15950/pg15950-images.html,Animals-Wild
Wild Nature Won By Kindness,Mrs. Brightwen,https://www.gutenberg.org/cache/epub/21111/pg21111-images.html,Animals-Wild
Marvels of Pond-life,Henry James Slack,https://www.gutenberg.org/cache/epub/36903/pg36903-images.html,Animals-Wild
The Determined Angler and the Brook Trout,Charles Barker Bradford,https://www.gutenberg.org/cache/epub/37856/pg37856-images.html,Animals-Wild
"Lobo, Rag and Vixen",Ernest Thompson Seton,https://www.gutenberg.org/cache/epub/14226/pg14226-images.html,Animals-Wild
Anecdotes of the Habits and Instinct of Animals,Mrs. R. Lee,https://www.gutenberg.org/cache/epub/21973/pg21973-images.html,Animals-Wild
Natural History in Anecdote,Alfred H. Miles,https://www.gutenberg.org/cache/epub/37959/pg37959-images.html,Animals-Wild
The Extermination of the American Bison,William T. Hornaday,https://www.gutenberg.org/cache/epub/17748/pg17748-images.html,Animals-Wild-Trapping
Deadfalls and Snares,A. R. Harding,https://www.gutenberg.org/cache/epub/34110/pg34110-images.html,Animals-Wild-Trapping
Fifty Years a Hunter and Trapper,E. N. Woodcock,https://www.gutenberg.org/cache/epub/34063/pg34063-images.html,Animals-Wild-Trapping
"Fox Trapping: A Book of Instruction Telling How to Trap, Snare, Poison and Shoot",,https://www.gutenberg.org/cache/epub/34076/pg34076-images.html,Animals-Wild-Trapping
Practical Taxidermy,Montagu Browne,https://www.gutenberg.org/cache/epub/26014/pg26014-images.html,Animals-Wild-Trapping
Our Vanishing Wild Life: Its Extermination and Preservation,William T. Hornaday,https://www.gutenberg.org/cache/epub/13249/pg13249-images.html,Animals-Wild-Trapping
Jorrocks' Jaunts and Jollities,Robert Smith Surtees,https://www.gutenberg.org/cache/epub/15387/pg15387-images.html,Animals-Wild-Trapping
Hunting in Many Lands: The Book of the Boone and Crockett Club,Grinnell et al.,https://www.gutenberg.org/cache/epub/37122/pg37122-images.html,Animals-Wild-Trapping
Science of Trapping,Elmer Harry Kreps,https://www.gutenberg.org/cache/epub/34098/pg34098-images.html,Animals-Wild-Trapping
