Title,Author,HTML_Link,Bookshelf
"Systematic Status of a South American Frog, Allophryne ruthveni Gaige",Freeman et al.,https://www.gutenberg.org/cache/epub/31293/pg31293-images.html,
The Systematics of the Frogs of the Hyla Rubra Group in Middle America,León,https://www.gutenberg.org/cache/epub/32505/pg32505-images.html,
The Tadpoles of Bufo cognatus Say,Hobart M. Smith,https://www.gutenberg.org/cache/epub/31011/pg31011-images.html,
"A New Tortoise, Genus Gopherus, From North-central Mexico",John M. Legler,https://www.gutenberg.org/cache/epub/32817/pg32817-images.html,
A New Hylid Frog from Eastern Mexico.,Edward Harrison Taylor,https://www.gutenberg.org/cache/epub/34326/pg34326-images.html,
"The Arctic Prairies : a Canoe-Journey of 2,000 Miles in Search of the Caribou;",,https://www.gutenberg.org/cache/epub/6818/pg6818-images.html,
Lyrics of Earth,Archibald Lampman,https://www.gutenberg.org/cache/epub/12664/pg12664-images.html,
Flint and Feather: Collected Verse,E. Pauline Johnson,https://www.gutenberg.org/cache/epub/5625/pg5625-images.html,
The Gold Hunters: A Story of Life and Adventure in the Hudson Bay Wilds,Curwood,https://www.gutenberg.org/cache/epub/11668/pg11668-images.html,
Songs of a Sourdough,Robert W. Service,https://www.gutenberg.org/cache/epub/25546/pg25546-images.html,
Canada,John George Bourinot,https://www.gutenberg.org/cache/epub/22557/pg22557-images.html,
The Dawn of Canadian History : A Chronicle of Aboriginal Canada,Stephen Leacock,https://www.gutenberg.org/cache/epub/4069/pg4069-images.html,
The Biography of a Grizzly,Ernest Thompson Seton,https://www.gutenberg.org/cache/epub/25023/pg25023-images.html,
The Story of My Life,Egerton Ryerson,https://www.gutenberg.org/cache/epub/24586/pg24586-images.html,
"Baree, Son of Kazan",James Oliver Curwood,https://www.gutenberg.org/cache/epub/53929/pg53929-images.html,
The Makers of Canada: Champlain,N.-E. Dionne,https://www.gutenberg.org/cache/epub/17132/pg17132-images.html,
"France and England in North America, Part V: Count Frontenac, New France, Louis",,https://www.gutenberg.org/cache/epub/6875/pg6875-images.html,
Pioneers in Canada,Harry Johnston,https://www.gutenberg.org/cache/epub/13003/pg13003-images.html,
The River's End,James Oliver Curwood,https://www.gutenberg.org/cache/epub/4747/pg4747-images.html,
Nature and Human Nature,Thomas Chandler Haliburton,https://www.gutenberg.org/cache/epub/6112/pg6112-images.html,
"The Story of the Upper Canadian Rebellion, Volume 1",John Charles Dent,https://www.gutenberg.org/cache/epub/22131/pg22131-images.html,
With Wolfe in Canada: The Winning of a Continent,G. A. Henty,https://www.gutenberg.org/cache/epub/17766/pg17766-images.html,
Canada under British Rule 1760-1900,John George Bourinot,https://www.gutenberg.org/cache/epub/12661/pg12661-images.html,
The Golden Dog,William Kirby,https://www.gutenberg.org/cache/epub/2735/pg2735-images.html,
Philip Steele of the Royal Northwest Mounted Police,James Oliver Curwood,https://www.gutenberg.org/cache/epub/4633/pg4633-images.html,
Sowing Seeds in Danny,Nellie L. McClung,https://www.gutenberg.org/cache/epub/4376/pg4376-images.html,
"Canada and the Canadians, Vol. 1",Sir Richard Henry Bonnycastle,https://www.gutenberg.org/cache/epub/20014/pg20014-images.html,
Wacousta : a tale of the Pontiac conspiracy (Complete),Major Richardson,https://www.gutenberg.org/cache/epub/4912/pg4912-images.html,
"The Clockmaker — or, the Sayings and Doings of Samuel Slick, of Slickville",,https://www.gutenberg.org/cache/epub/5817/pg5817-images.html,
The Man from Glengarry: A Tale of the Ottawa,Ralph Connor,https://www.gutenberg.org/cache/epub/3287/pg3287-images.html,
Great Big Treasury of Beatrix Potter,Beatrix Potter,https://www.gutenberg.org/cache/epub/20049/pg20049-images.html,
The Tale of Mr. Jeremy Fisher,Beatrix Potter,https://www.gutenberg.org/cache/epub/15077/pg15077-images.html,
"The Tale of Samuel Whiskers; Or, The Roly-Poly Pudding",Beatrix Potter,https://www.gutenberg.org/cache/epub/15575/pg15575-images.html,
The Tale of the Flopsy Bunnies,Beatrix Potter,https://www.gutenberg.org/cache/epub/14220/pg14220-images.html,
A Collection of Beatrix Potter Stories,Beatrix Potter,https://www.gutenberg.org/cache/epub/582/pg582-images.html,
The Anti-Slavery Alphabet,Anonymous,https://www.gutenberg.org/cache/epub/16081/pg16081-images.html,
The Tale of Mrs. Tittlemouse,Beatrix Potter,https://www.gutenberg.org/cache/epub/17089/pg17089-images.html,
The Tale of Peter Rabbit,Beatrix Potter,https://www.gutenberg.org/cache/epub/14304/pg14304-images.html,
The Tale of Ginger and Pickles,Beatrix Potter,https://www.gutenberg.org/cache/epub/14877/pg14877-images.html,
A Book of Nonsense,Edward Lear,https://www.gutenberg.org/cache/epub/13646/pg13646-images.html,
The Story of Miss Moppet,Beatrix Potter,https://www.gutenberg.org/cache/epub/14848/pg14848-images.html,
The Magic Fishbone,Charles Dickens,https://www.gutenberg.org/cache/epub/23344/pg23344-images.html,
A Child's Garden of Verses,Robert Louis Stevenson,https://www.gutenberg.org/cache/epub/19722/pg19722-images.html,
The Great Big Treasury of Beatrix Potter,Beatrix Potter,https://www.gutenberg.org/cache/epub/572/pg572-images.html,
A Apple Pie,Kate Greenaway,https://www.gutenberg.org/cache/epub/15809/pg15809-images.html,
Finger plays for nursery and kindergarten,Emilie Poulsson,https://www.gutenberg.org/cache/epub/24912/pg24912-images.html,
The Tale of Timmy Tiptoes,Beatrix Potter,https://www.gutenberg.org/cache/epub/14797/pg14797-images.html,
The Frog Prince and Other Stories,Walter Crane,https://www.gutenberg.org/cache/epub/20437/pg20437-images.html,
More Russian Picture Tales,Valerian Viliamovich Karrik,https://www.gutenberg.org/cache/epub/23462/pg23462-images.html,
The Little Mother Goose,Jessie Willcox Smith,https://www.gutenberg.org/cache/epub/20511/pg20511-images.html,
A Frog He Would A-Wooing Go,Randolph Caldecott,https://www.gutenberg.org/cache/epub/14077/pg14077-images.html,
The Tale of the Pie and the Patty Pan,Beatrix Potter,https://www.gutenberg.org/cache/epub/15234/pg15234-images.html,
Cecily Parsley's Nursery Rhymes,Beatrix Potter,https://www.gutenberg.org/cache/epub/23350/pg23350-images.html,
The Three Bears,Anonymous,https://www.gutenberg.org/cache/epub/23322/pg23322-images.html,
The Tale of Mr. Tod,Beatrix Potter,https://www.gutenberg.org/cache/epub/19805/pg19805-images.html,
A Knight of the White Cross: A Tale of the Siege of Rhodes,G. A. Henty,https://www.gutenberg.org/cache/epub/4932/pg4932-images.html,
The Dash for Khartoum: A Tale of the Nile Expedition,G. A. Henty,https://www.gutenberg.org/cache/epub/21986/pg21986-images.html,
The Treasure of the Incas: A Story of Adventure in Peru,G. A. Henty,https://www.gutenberg.org/cache/epub/7070/pg7070-images.html,
The Princess of the School,Angela Brazil,https://www.gutenberg.org/cache/epub/21656/pg21656-images.html,
"Fame and Fortune; or, The Progress of Richard Hunter",Jr. Horatio Alger,https://www.gutenberg.org/cache/epub/21632/pg21632-images.html,
The Young Acrobat of the Great North American Circus,Jr. Horatio Alger,https://www.gutenberg.org/cache/epub/22521/pg22521-images.html,
Beric the Briton : a Story of the Roman Invasion,G. A. Henty,https://www.gutenberg.org/cache/epub/7037/pg7037-images.html,
With Frederick the Great: A Story of the Seven Years' War,G. A. Henty,https://www.gutenberg.org/cache/epub/19714/pg19714-images.html,
At Agincourt,G. A. Henty,https://www.gutenberg.org/cache/epub/7060/pg7060-images.html,
"The Huge Hunter; Or, The Steam Man of the Prairies",Edward Sylvester Ellis,https://www.gutenberg.org/cache/epub/7506/pg7506-images.html,
Wulf the Saxon: A Story of the Norman Conquest,G. A. Henty,https://www.gutenberg.org/cache/epub/8745/pg8745-images.html,
Adrift in New York: Tom and Florence Braving the World,Jr. Horatio Alger,https://www.gutenberg.org/cache/epub/18581/pg18581-images.html,
At the Point of the Bayonet: A Tale of the Mahratta War,G. A. Henty,https://www.gutenberg.org/cache/epub/20729/pg20729-images.html,
Among Malay Pirates : a Tale of Adventure and Peril,G. A. Henty,https://www.gutenberg.org/cache/epub/7346/pg7346-images.html,
The Lion of Saint Mark: A Story of Venice in the Fourteenth Century,G. A. Henty,https://www.gutenberg.org/cache/epub/17546/pg17546-images.html,
In the Reign of Terror: The Adventures of a Westminster Boy,G. A. Henty,https://www.gutenberg.org/cache/epub/3785/pg3785-images.html,
The Cash Boy,Jr. Horatio Alger,https://www.gutenberg.org/cache/epub/296/pg296-images.html,
The Butterfly's Ball and the Grasshopper's Feast,Ballantyne and Roscoe,https://www.gutenberg.org/cache/epub/21823/pg21823-images.html,
"The Errand Boy; Or, How Phil Brent Won Success",Jr. Horatio Alger,https://www.gutenberg.org/cache/epub/462/pg462-images.html,
"The Life of Kit Carson: Hunter, Trapper, Guide, Indian Agent and Colonel U.S.A.",,https://www.gutenberg.org/cache/epub/7882/pg7882-images.html,
The World of Ice,R. M. Ballantyne,https://www.gutenberg.org/cache/epub/11602/pg11602-images.html,
By Pike and Dyke: a Tale of the Rise of the Dutch Republic,G. A. Henty,https://www.gutenberg.org/cache/epub/6952/pg6952-images.html,
Battles with the Sea,R. M. Ballantyne,https://www.gutenberg.org/cache/epub/21717/pg21717-images.html,
"With Clive in India; Or, The Beginnings of an Empire",G. A. Henty,https://www.gutenberg.org/cache/epub/18833/pg18833-images.html,
Under Drake's Flag: A Tale of the Spanish Main,G. A. Henty,https://www.gutenberg.org/cache/epub/19206/pg19206-images.html,
A History of China,Wolfram Eberhard,https://www.gutenberg.org/cache/epub/11367/pg11367-images.html,
Hero Tales from American History,Henry Cabot Lodge and Theodore Roosevelt,https://www.gutenberg.org/cache/epub/1864/pg1864-images.html,
A Short History of Scotland,Andrew Lang,https://www.gutenberg.org/cache/epub/15955/pg15955-images.html,
The Loss of the S. S. Titanic: Its Story and Its Lessons,Lawrence Beesley,https://www.gutenberg.org/cache/epub/6675/pg6675-images.html,
The Treasury of Ancient Egypt,Arthur E. P. Brome Weigall,https://www.gutenberg.org/cache/epub/16160/pg16160-images.html,
Letters of a Woman Homesteader,Elinore Pruitt Stewart,https://www.gutenberg.org/cache/epub/16623/pg16623-images.html,
"Buried Cities: Pompeii, Olympia, Mycenae (Complete)",Jennie Hall,https://www.gutenberg.org/cache/epub/9628/pg9628-images.html,
"The Northmen, Columbus and Cabot, 985-1503",Bourne and Olson,https://www.gutenberg.org/cache/epub/18571/pg18571-images.html,
The Story of the Barbary Corsairs,J. D. Jerrold Kelley and Stanley Lane-Poole,https://www.gutenberg.org/cache/epub/22169/pg22169-images.html,
The Quaker Colonies: A Chronicle of the Proprietors of the Delaware,Fisher,https://www.gutenberg.org/cache/epub/3043/pg3043-images.html,
"Beacon Lights of History, Volume 01: The Old Pagan Civilizations",John Lord,https://www.gutenberg.org/cache/epub/10477/pg10477-images.html,
A Short History of the United States for School Use,Edward Channing,https://www.gutenberg.org/cache/epub/12423/pg12423-images.html,
The Anti-Slavery Crusade: A Chronicle of the Gathering Storm,Jesse Macy,https://www.gutenberg.org/cache/epub/3034/pg3034-images.html,
Camps and Trails in China,Roy Chapman Andrews and Yvette Borup Andrews,https://www.gutenberg.org/cache/epub/12296/pg12296-images.html,
Sabbath in Puritan New England,Alice Morse Earle,https://www.gutenberg.org/cache/epub/8659/pg8659-images.html,
"A Modern History, From the Time of Luther to the Fall of Napoleon",John Lord,https://www.gutenberg.org/cache/epub/24598/pg24598-images.html,
The Story of the Pony Express,Glenn D. Bradley,https://www.gutenberg.org/cache/epub/4671/pg4671-images.html,
A School History of the Great War,"Coulomb, Gerson, and McKinley",https://www.gutenberg.org/cache/epub/17211/pg17211-images.html,
Introductory American History,Elbert Jay Benton and Henry Eldridge Bourne,https://www.gutenberg.org/cache/epub/9897/pg9897-images.html,
Ancient Man: The Beginning of Civilizations,Hendrik Willem Van Loon,https://www.gutenberg.org/cache/epub/9991/pg9991-images.html,
Woman's Life in Colonial Days,Carl Holliday,https://www.gutenberg.org/cache/epub/15488/pg15488-images.html,
The Age of Invention: A Chronicle of Mechanical Conquest,Holland Thompson,https://www.gutenberg.org/cache/epub/2900/pg2900-images.html,
Our Foreigners: A Chronicle of Americans in the Making,Samuel Peter Orth,https://www.gutenberg.org/cache/epub/14825/pg14825-images.html,
"Beacon Lights of History, Volume 03: Ancient Achievements",John Lord,https://www.gutenberg.org/cache/epub/10484/pg10484-images.html,
The Red Man's Continent: A Chronicle of Aboriginal America,Ellsworth Huntington,https://www.gutenberg.org/cache/epub/3066/pg3066-images.html,
"Tom Swift and His Submarine Boat; Or, Under the Ocean for Sunken Treasure",,https://www.gutenberg.org/cache/epub/949/pg949-images.html,
The Adventures of Johnny Chuck,Thornton W. Burgess,https://www.gutenberg.org/cache/epub/5844/pg5844-images.html,
"Tom Swift and His Electric Runabout; Or, The Speediest Car on the Road",Appleton,https://www.gutenberg.org/cache/epub/950/pg950-images.html,
Maida's Little Shop,Inez Haynes Gillmore,https://www.gutenberg.org/cache/epub/17530/pg17530-images.html,
"Tom Swift and His Electric Locomotive; Or, Two Miles a Minute on the Rails",,https://www.gutenberg.org/cache/epub/1364/pg1364-images.html,
"The Scientific American Boy; Or, The Camp at Willow Clump Island",A. Russell Bond,https://www.gutenberg.org/cache/epub/15831/pg15831-images.html,
"Tom Swift and His Giant Cannon; Or, The Longest Shots on Record",Victor Appleton,https://www.gutenberg.org/cache/epub/1361/pg1361-images.html,
Five Little Peppers Grown Up,Margaret Sidney,https://www.gutenberg.org/cache/epub/7498/pg7498-images.html,
The Adventures of Jerry Muskrat,Thornton W. Burgess,https://www.gutenberg.org/cache/epub/5110/pg5110-images.html,
"Tom Swift and His War Tank; Or, Doing His Bit for Uncle Sam",Victor Appleton,https://www.gutenberg.org/cache/epub/954/pg954-images.html,
The Adventures of Paddy Beaver,Thornton W. Burgess,https://www.gutenberg.org/cache/epub/19092/pg19092-images.html,
"Tom Swift and His Wireless Message; Or, The Castaways of Earthquake Island",,https://www.gutenberg.org/cache/epub/4227/pg4227-images.html,
Elsie's children,Martha Finley,https://www.gutenberg.org/cache/epub/14875/pg14875-images.html,
Mother West Wind's Children,Thornton W. Burgess,https://www.gutenberg.org/cache/epub/20877/pg20877-images.html,
The Spartan Twins,Lucy Fitch Perkins,https://www.gutenberg.org/cache/epub/9966/pg9966-images.html,
Mother West Wind 'Why' Stories,Thornton W. Burgess,https://www.gutenberg.org/cache/epub/14958/pg14958-images.html,
The Bobbsey Twins in the Country,Laura Lee Hope,https://www.gutenberg.org/cache/epub/714/pg714-images.html,
"Tom Swift and His Big Tunnel; Or, The Hidden City of the Andes",Victor Appleton,https://www.gutenberg.org/cache/epub/953/pg953-images.html,
Five Little Peppers Midway,Margaret Sidney,https://www.gutenberg.org/cache/epub/5632/pg5632-images.html,
Elsie's New Relations,Martha Finley,https://www.gutenberg.org/cache/epub/14909/pg14909-images.html,
"Tom Swift Among the Fire Fighters; Or, Battling with Flames from the Air",,https://www.gutenberg.org/cache/epub/1363/pg1363-images.html,
Grandmother Elsie,Martha Finley,https://www.gutenberg.org/cache/epub/14883/pg14883-images.html,
"Tom Swift and His Air Scout; Or, Uncle Sam's Mastery of the Sky",Victor Appleton,https://www.gutenberg.org/cache/epub/1284/pg1284-images.html,
"Ruth Fielding of the Red Mill; Or, Jasper Parloe's Secret",Alice B. Emerson,https://www.gutenberg.org/cache/epub/4985/pg4985-images.html,
"Frank Merriwell at Yale; Or, Freshman Against Freshman",Burt L. Standish,https://www.gutenberg.org/cache/epub/11115/pg11115-images.html,
Andersen's Fairy Tales,H. C. Andersen,https://www.gutenberg.org/cache/epub/19574/pg19574-images.html,
Welsh Fairy-Tales and Other Stories,P. H. Emerson,https://www.gutenberg.org/cache/epub/8675/pg8675-images.html,
Hero-Myths & Legends of the British Race,M. I. Ebbutt,https://www.gutenberg.org/cache/epub/25502/pg25502-images.html,
The Cat and the Mouse: A Book of Persian Fairy Tales,James and Neill,https://www.gutenberg.org/cache/epub/24473/pg24473-images.html,
The Indian Fairy Book: From the Original Legends,Cornelius Mathews,https://www.gutenberg.org/cache/epub/22248/pg22248-images.html,
Fairy Tales from Brazil: How and Why Tales from Brazilian Folk-Lore,Eells,https://www.gutenberg.org/cache/epub/24714/pg24714-images.html,
The Fairy Book,Dinah Maria Mulock Craik,https://www.gutenberg.org/cache/epub/19734/pg19734-images.html,
Dutch Fairy Tales for Young Folks,William Elliot Griffis,https://www.gutenberg.org/cache/epub/7871/pg7871-images.html,
Fairy Tales of the Slav Peasants and Herdsmen,Alexander Chodzko,https://www.gutenberg.org/cache/epub/25555/pg25555-images.html,
Fables in Rhyme for Little Folks,Jean de La Fontaine,https://www.gutenberg.org/cache/epub/24108/pg24108-images.html,
Legends That Every Child Should Know; a Selection of the Great Legends of All,,https://www.gutenberg.org/cache/epub/6622/pg6622-images.html,
The Firelight Fairy Book,Henry Beston,https://www.gutenberg.org/cache/epub/19207/pg19207-images.html,
Andersens Sproken en vertellingen,H. C. Andersen,https://www.gutenberg.org/cache/epub/25580/pg25580-images.html,
Sprookjes: Tweede verzameling,Jacob Grimm and Wilhelm Grimm,https://www.gutenberg.org/cache/epub/22555/pg22555-images.html,
Cinderella in the South: Twenty-Five South African Tales,Arthur Shearly Cripps,https://www.gutenberg.org/cache/epub/22886/pg22886-images.html,
Welsh Fairy Tales,William Elliot Griffis,https://www.gutenberg.org/cache/epub/9368/pg9368-images.html,
The Oriental Story Book: A Collection of Tales,Wilhelm Hauff,https://www.gutenberg.org/cache/epub/24593/pg24593-images.html,
"Red Cap Tales, Stolen from the Treasure Chest of the Wizard of the North",,https://www.gutenberg.org/cache/epub/22656/pg22656-images.html,
Roumanian Fairy Tales,Mite Kremnitz,https://www.gutenberg.org/cache/epub/20552/pg20552-images.html,
Fairy Tales from the Arabian Nights,E. Dixon,https://www.gutenberg.org/cache/epub/8599/pg8599-images.html,
Wonderwings and other Fairy Stories,Edith Howes,https://www.gutenberg.org/cache/epub/20366/pg20366-images.html,
The Golden Spears,Edmund Leamy,https://www.gutenberg.org/cache/epub/22168/pg22168-images.html,
The Laughing Prince: Jugoslav Folk and Fairy Tales,Parker Fillmore,https://www.gutenberg.org/cache/epub/19713/pg19713-images.html,
Fables et légendes du Japon,Claudius Ferrand,https://www.gutenberg.org/cache/epub/23954/pg23954-images.html,
Sagen van Koning Arthur en de Ridders van de Tafelronde,Nelly Montijn-de Fouw,https://www.gutenberg.org/cache/epub/23759/pg23759-images.html,
Little Men,Louisa May Alcott,https://www.gutenberg.org/cache/epub/22787/pg22787-images.html,
"Parkhurst Boys, and Other Stories of School Life",Talbot Baines Reed,https://www.gutenberg.org/cache/epub/21137/pg21137-images.html,
"The Rover Boys at Colby Hall; or, The Struggles of the Young Cadets",Stratemeyer,https://www.gutenberg.org/cache/epub/21894/pg21894-images.html,
Monitress Merle,Angela Brazil,https://www.gutenberg.org/cache/epub/7820/pg7820-images.html,
Louis' School Days: A Story for Boys,E. J. May,https://www.gutenberg.org/cache/epub/19855/pg19855-images.html,
The Mystery at Putnam Hall: The School Chums' Strange Discovery,Stratemeyer,https://www.gutenberg.org/cache/epub/17636/pg17636-images.html,
"The Rover Boys in Camp; or, The Rivals of Pine Island",Edward Stratemeyer,https://www.gutenberg.org/cache/epub/15795/pg15795-images.html,
Grace Harlowe's Plebe Year at High School,Josephine Chase,https://www.gutenberg.org/cache/epub/20472/pg20472-images.html,
"Marjorie Dean, High School Freshman",Josephine Chase,https://www.gutenberg.org/cache/epub/23644/pg23644-images.html,
Grace Harlowe's Senior Year at High School,Josephine Chase,https://www.gutenberg.org/cache/epub/4940/pg4940-images.html,
"The Triple Alliance, Its Trials and Triumphs",Harold Avery,https://www.gutenberg.org/cache/epub/10027/pg10027-images.html,
For the Sake of the School,Angela Brazil,https://www.gutenberg.org/cache/epub/20730/pg20730-images.html,
"Betty Gordon at Boarding School; Or, The Treasure of Indian Chasm",Emerson,https://www.gutenberg.org/cache/epub/10317/pg10317-images.html,
The Adventures of a Three-Guinea Watch,Talbot Baines Reed,https://www.gutenberg.org/cache/epub/21035/pg21035-images.html,
"Eric; Or, Little",Little F. W. Farrar,https://www.gutenberg.org/cache/epub/12083/pg12083-images.html,
"The Rover Boys on the Farm; or, Last Days at Putnam Hall",Edward Stratemeyer,https://www.gutenberg.org/cache/epub/22163/pg22163-images.html,
"The Rover Boys Under Canvas; Or, The Mystery of the Wrecked Submarine",,https://www.gutenberg.org/cache/epub/23286/pg23286-images.html,
Glyn Severn's Schooldays,George Manville Fenn,https://www.gutenberg.org/cache/epub/21312/pg21312-images.html,
Tom and Some Other Girls: A Public School Story,Mrs. George de Horne Vaizey,https://www.gutenberg.org/cache/epub/21102/pg21102-images.html,
"The Camp Fire Girls at School; Or, The Wohelo Weavers",Hildegard G. Frey,https://www.gutenberg.org/cache/epub/11718/pg11718-images.html,
Jack of Both Sides: The Story of a School War,Florence Coombe,https://www.gutenberg.org/cache/epub/20354/pg20354-images.html,
Grace Harlowe's Sophomore Year at High School,Josephine Chase,https://www.gutenberg.org/cache/epub/15344/pg15344-images.html,
Acton's Feud: A Public School Story,Frederick Swainson,https://www.gutenberg.org/cache/epub/14772/pg14772-images.html,
My Friend Smith: A Story of School and City Life,Talbot Baines Reed,https://www.gutenberg.org/cache/epub/21036/pg21036-images.html,
Daddy-Long-Legs,Jean Webster,https://www.gutenberg.org/cache/epub/19782/pg19782-images.html,
Wildflowers of the Farm,Arthur O. Cooke,https://www.gutenberg.org/cache/epub/13347/pg13347-images.html,
The Louisa Alcott Reader: a Supplementary Reader for the Fourth Year of School,,https://www.gutenberg.org/cache/epub/7425/pg7425-images.html,
Young Folks' History of Rome,Charlotte M. Yonge,https://www.gutenberg.org/cache/epub/16667/pg16667-images.html,
"The Wonders of the Jungle, Book One",Sarath Kumar Ghosh,https://www.gutenberg.org/cache/epub/24852/pg24852-images.html,
The Child's World: Third Reader,"Browne, Tate, and Withers",https://www.gutenberg.org/cache/epub/15170/pg15170-images.html,
The Story of Eclipses,George F. Chambers,https://www.gutenberg.org/cache/epub/24222/pg24222-images.html,
Among the Farmyard People,Clara Dillingham Pierson,https://www.gutenberg.org/cache/epub/19381/pg19381-images.html,
The Story of Porcelain,Sara Ware Bassett,https://www.gutenberg.org/cache/epub/19423/pg19423-images.html,
"Poems Teachers Ask For, Book Two",Various,https://www.gutenberg.org/cache/epub/19469/pg19469-images.html,
"A Modern History, From the Time of Luther to the Fall of Napoleon",John Lord,https://www.gutenberg.org/cache/epub/24598/pg24598-images.html,
A Manual of Pronunciation,Otis Ashmore,https://www.gutenberg.org/cache/epub/21783/pg21783-images.html,
A Catechism of Familiar Things;,Anonymous,https://www.gutenberg.org/cache/epub/16728/pg16728-images.html,
"Children's Classics in Dramatic Form, Book Two",Augusta Stevenson,https://www.gutenberg.org/cache/epub/16379/pg16379-images.html,
Peeps at Many Lands: Norway,A. F. Mockler-Ferryman,https://www.gutenberg.org/cache/epub/24676/pg24676-images.html,
A Little Book for A Little Cook,L. P. Hubbard,https://www.gutenberg.org/cache/epub/24125/pg24125-images.html,
New National First Reader,"Ballard, Barnes, and Thayer",https://www.gutenberg.org/cache/epub/13853/pg13853-images.html,
"Outlines of Lessons in Botany, Part I; from Seed to Leaf",Jane Newell Moore,https://www.gutenberg.org/cache/epub/10726/pg10726-images.html,
Our Common Insects,A. S. Packard,https://www.gutenberg.org/cache/epub/24409/pg24409-images.html,
Modern Prose And Poetry; For Secondary Schools,Margaret Ashmun,https://www.gutenberg.org/cache/epub/17160/pg17160-images.html,
Animal Heroes,Ernest Thompson Seton,https://www.gutenberg.org/cache/epub/2284/pg2284-images.html,
A Hundred Anecdotes of Animals,Percy J. Billinghurst,https://www.gutenberg.org/cache/epub/24263/pg24263-images.html,
The Curious Book of Birds,Abbie Farwell Brown,https://www.gutenberg.org/cache/epub/16140/pg16140-images.html,
Steve and the Steam Engine,Sara Ware Bassett,https://www.gutenberg.org/cache/epub/22245/pg22245-images.html,
Commercial Geography,Jacques W. Redway,https://www.gutenberg.org/cache/epub/24884/pg24884-images.html,
Woodland Tales,Ernest Thompson Seton,https://www.gutenberg.org/cache/epub/23667/pg23667-images.html,
Andersen's Fairy Tales,H. C. Andersen,https://www.gutenberg.org/cache/epub/1597/pg1597-images.html,
The Odyssey,Homer,https://www.gutenberg.org/cache/epub/3160/pg3160-images.html,
Apology,Plato,https://www.gutenberg.org/cache/epub/1656/pg1656-images.html,
"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",Oliver Goldsmith,https://www.gutenberg.org/cache/epub/383/pg383-images.html,
Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles,https://www.gutenberg.org/cache/epub/31/pg31-images.html,
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth,,https://www.gutenberg.org/cache/epub/59/pg59-images.html,
The Alchemist,Ben Jonson,https://www.gutenberg.org/cache/epub/4081/pg4081-images.html,
The Mill on the Floss,George Eliot,https://www.gutenberg.org/cache/epub/6688/pg6688-images.html,
An Enquiry Concerning Human Understanding,David Hume,https://www.gutenberg.org/cache/epub/9662/pg9662-images.html,
Vanity Fair,William Makepeace Thackeray,https://www.gutenberg.org/cache/epub/599/pg599-images.html,
The Aeneid,Virgil,https://www.gutenberg.org/cache/epub/228/pg228-images.html,
The Portrait of a Lady — Volume 1,Henry James,https://www.gutenberg.org/cache/epub/2833/pg2833-images.html,
"The Song Celestial; Or, Bhagavad-Gîtâ (from the Mahâbhârata)",Sir Edwin Arnold,https://www.gutenberg.org/cache/epub/2388/pg2388-images.html,
The Scarlet Letter,Nathaniel Hawthorne,https://www.gutenberg.org/cache/epub/33/pg33-images.html,
The Imitation of Christ,à Kempis Thomas,https://www.gutenberg.org/cache/epub/1653/pg1653-images.html,
New Atlantis,Francis Bacon,https://www.gutenberg.org/cache/epub/2434/pg2434-images.html,
The Origin of Species,Means of Natural Selection Charles Darwin,https://www.gutenberg.org/cache/epub/2009/pg2009-images.html,
Poems and Songs of Robert Burns,Robert Burns,https://www.gutenberg.org/cache/epub/1279/pg1279-images.html,
"History of Tom Jones, a Foundling",Henry Fielding,https://www.gutenberg.org/cache/epub/6593/pg6593-images.html,
"Plutarch's Lives, Volume 1 (of 4)",Plutarch,https://www.gutenberg.org/cache/epub/14033/pg14033-images.html,
"The Works of the Right Honourable Edmund Burke, Vol. 01 (of 12)",Edmund Burke,https://www.gutenberg.org/cache/epub/15043/pg15043-images.html,
The School for Scandal,Richard Brinsley Sheridan,https://www.gutenberg.org/cache/epub/1929/pg1929-images.html,
Phaedo,Plato,https://www.gutenberg.org/cache/epub/1658/pg1658-images.html,
The Kreutzer Sonata and Other Stories,graf Leo Tolstoy,https://www.gutenberg.org/cache/epub/689/pg689-images.html,
The Arabian Nights: Their Best-known Tales,"Smith, Wiggin, and Parrish",https://www.gutenberg.org/cache/epub/20916/pg20916-images.html,
The Odyssey of Homer,Homer,https://www.gutenberg.org/cache/epub/1728/pg1728-images.html,
Aeneidos,Virgil,https://www.gutenberg.org/cache/epub/227/pg227-images.html,
"The Golden Sayings of Epictetus, with the Hymn of Cleanthes",Epictetus,https://www.gutenberg.org/cache/epub/871/pg871-images.html,
Tacitus on Germany,Cornelius Tacitus,https://www.gutenberg.org/cache/epub/2995/pg2995-images.html,
The Frogs,Aristophanes,https://www.gutenberg.org/cache/epub/7998/pg7998-images.html,
C. Iuli Caesaris De Bello Gallico,Julius Caesar,https://www.gutenberg.org/cache/epub/218/pg218-images.html,
"The Letters of Cicero, Volume 1",Marcus Tullius Cicero,https://www.gutenberg.org/cache/epub/21200/pg21200-images.html,
The Categories,Aristotle,https://www.gutenberg.org/cache/epub/2412/pg2412-images.html,
The Birds,Aristophanes,https://www.gutenberg.org/cache/epub/3013/pg3013-images.html,
Four Plays of Aeschylus,Aeschylus,https://www.gutenberg.org/cache/epub/8714/pg8714-images.html,
